t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0.0355,0.524272,-0.918388,0.464057,-0.449374,0.173964,-2.54766,5.91883,-5.05527,-77.8727,-0.0794514,-65.6916,0,0,0,198.393,-0.470259,332.089,0,0,0,0,0,0,1.09035,-0.0145439,-0.58868,-616.241,875.368
0.036,0.524362,-0.91967,0.467027,-0.451909,0.186688,-2.58012,5.95835,-5.08246,-77.7334,-0.0643033,-65.266,0,0,0,200.562,-0.383142,331.712,0,0,0,0,0,0,1.09005,-0.0149877,-0.597429,-613.73,875.633
0.0365,0.524459,-0.920968,0.470016,-0.454456,0.199525,-2.61234,5.99689,-5.10878,-77.5895,-0.0474761,-64.9191,0,0,0,202.69,-0.284709,331.658,0,0,0,0,0,0,1.08975,-0.0154354,-0.606162,-611.245,875.9
0.037,0.524562,-0.922282,0.473024,-0.457017,0.21243,-2.64428,6.03452,-5.13433,-77.4417,-0.0290625,-64.6491,0,0,0,204.777,-0.175378,331.93,0,0,0,0,0,0,1.08945,-0.0158866,-0.614879,-608.788,876.168
0.0375,0.524671,-0.923612,0.47605,-0.459591,0.225361,-2.67591,6.07131,-5.1592,-77.2906,-0.0091498,-64.4509,0,0,0,206.822,-0.0555513,332.515,0,0,0,0,0,0,1.08914,-0.0163412,-0.623581,-606.36,876.436
0.038,0.524787,-0.924958,0.479095,-0.462176,0.238227,-2.70716,6.1074,-5.18355,-77.137,0.0121747,-64.5435,0,0,0,208.822,0.0743559,334.565,0,0,0,0,0,0,1.08882,-0.0167986,-0.632269,-604.129,876.707
0.0385,0.524909,-0.926319,0.482157,-0.464774,0.250795,-2.73786,6.14309,-5.20779,-76.9831,0.0348146,-65.0496,0,0,0,210.769,0.213869,338.765,0,0,0,0,0,0,1.08851,-0.0172573,-0.640943,-602.197,876.98
0.039,0.525038,-0.927695,0.485238,-0.467384,0.26282,-2.76779,6.17872,-5.23234,-76.8309,0.0586735,-65.9417,0,0,0,212.652,0.362527,345.029,0,0,0,0,0,0,1.08818,-0.017716,-0.649607,-600.556,877.257
0.0395,0.525172,-0.929087,0.488336,-0.470007,0.274071,-2.79677,6.21457,-5.25757,-76.6825,0.0836541,-67.1968,0,0,0,214.464,0.519874,353.292,0,0,0,0,0,0,1.08786,-0.0181735,-0.658261,-599.202,877.539
0.04,0.525312,-0.930492,0.491452,-0.472642,0.28434,-2.82463,6.25089,-5.28384,-76.5398,0.110777,-68.7252,0,0,0,216.197,0.692452,363.133,0,0,0,0,0,0,1.08752,-0.0186286,-0.666907,-598.085,877.826
